Date,sku_id,product_name_en,Tags,product_type,SP,Grofers MRP,Deal Share MRP,Amazon MRP,JioMart MRP,Grofers,Grofers : Link,Deal Share,Deal Share Link,AZ Fresh/ More,AZ Fresh/More Link,Jio,Jio Link,Grofers,Grofers : Link,Grofers,Grofers : Link,Grofers,Grofers : Link,Grofers,Grofers : Link,Grofers,Grofers : Link,DealSare,DealShare Link,Grofers,Grofers : link
12-01-2021,CM009708,Aashirvaad Shudh Chakki Atta 10 kg,Leader Pack,,,390,355,375,375,345,https://grofers.com/prn/aashirvaad-shudh-chakki-whole-wheat-atta/prid/333324,355,"Buy,Aashirvaad,Shudh,Chakki,Atta,-,10,kg,Online,-,DealShare",345,https://www.amazon.in/Aashirvaad-Shudh-Chakki-Atta-10/dp/B00RO0BWOM/ref=sr_1_1_0o_fs?almBrandId=ctnow&crid=3D4AEFC6T9HX9&dchild=1&fpw=alm&keywords=aashirvaad+shudh+chakki+atta+10kg&qid=1634544110&qsid=259-9051782-1050712&sr=8-1&sres=B00RO0BWOM%2CB007GGTLEC%2CB07VYKT7B6%2CB00NWGOSES%2CB00XJELL5C%2CB07DCPKZHZ%2CB00HUJQIZK%2CB006FGJ30G%2CB00NBSEXWY%2CB00MOFO4FG%2CB0972Z8N14%2CB079H8D8L9%2CB071ZJ7FQ6%2CB0821WPDTX&srpt=FLOUR,345,Aashirvaad Whole Wheat Atta 10 kg - JioMart,345,https://grofers.com/prn/aashirvaad-shudh-chakki-whole-wheat-atta/prid/333324,345,https://grofers.com/prn/aashirvaad-shudh-chakki-whole-wheat-atta/prid/333324,345,https://grofers.com/prn/aashirvaad-shudh-chakki-whole-wheat-atta/prid/333324,345,https://grofers.com/prn/aashirvaad-shudh-chakki-whole-wheat-atta/prid/333324,OOS,https://grofers.com/prn/aashirvaad-shudh-chakki-whole-wheat-atta/prid/333324,355,https://www.dealshare.in/product?dealId=Luc1275&deal=Aashirvaad+Shudh+Chakki+Atta+-+10+kg,349,https://grofers.com/prn/aashirvaad-shudh-chakki-whole-wheat-atta/prid/333324
12-01-2021,CM0014375,Fortune Chakki Fresh Atta 10 Kg,Only for price reference,,,375,375,375,375,319,https://grofers.com/prn/fortune-chakki-fresh-100-atta-0-maida-atta/prid/380157,309,https://www.dealshare.in/product?dealId=ncr6008&deal=Fortune+Chakki+Fresh+Whole+Wheat+Atta+-+10+kg,305,https://www.amazon.in/Fortune-Chakki-Fresh-Atta-10kg/dp/B07DCPKZHZ/ref=sr_1_1_0o_fs?almBrandId=ctnow&dchild=1&fpw=alm&keywords=fortune+chakki+fresh+atta+10kg&qid=1634544810&qsid=259-9051782-1050712&sr=8-1&sres=B07DCPKZHZ%2CB07X5TFYZ4%2CB0821WLJVF%2CB07CBKR1L7%2CB09C8N1LQW%2CB097C1KJXQ%2CB0821WPDTX%2CB093TDHFVV%2CB097C1WFRV%2CB00RO0BWOM%2CB097BZH32F%2CB092J7BN57%2CB07F3KKKTP%2CB079H8D8L9%2CB09G8QT84Q%2CB09DYS344Y%2CB00XJELL5C%2CB00L926JNU%2CB07H398S8M%2CB00HUJQIZK&srpt=FLOUR,309,Fortune Chakki Fresh Whole Wheat Atta 10 kg - JioMart,319,https://grofers.com/prn/fortune-chakki-fresh-100-atta-0-maida-atta/prid/380157,314,https://grofers.com/prn/fortune-chakki-fresh-100-atta-0-maida-atta/prid/380157,319,https://grofers.com/prn/fortune-chakki-fresh-100-atta-0-maida-atta/prid/380157,319,https://grofers.com/prn/fortune-chakki-fresh-100-atta-0-maida-atta/prid/380157,OOS,https://grofers.com/prn/fortune-chakki-fresh-100-atta-0-maida-atta/prid/380157,349,https://www.dealshare.in/product?dealId=Luc1280&deal=Fortune+Chakki+Fresh+Whole+Wheat+Atta+-+10+kg,327,https://grofers.com/prn/fortune-chakki-fresh-100-atta-0-maida-atta/prid/380157
12-01-2021,CM0046495,Nature Bright Chakki Fresh Atta 10Kg,OPP - Gurgaon,,,330,380,370,320,278,https://grofers.com/prn/chakki-atta/prid/388639,322,https://www.dealshare.in/product?dealId=ncr1818&deal=Pansari+Atta+-+10+kg,260,https://www.amazon.in/Niulife-Chakki-Fresh-Atta-10kg/dp/B09C8N1LQW/ref=sr_1_3?dchild=1&keywords=Nature+Bright+Chakki+Fresh+Atta+10Kg&qid=1634544239&qsid=259-9051782-1050712&sr=8-3&sres=B0821WPDTX%2CB079H8D8L9%2CB09C8N1LQW%2CB08KD28DSR&srpt=FLOUR,279,Chakki Atta 10 kg - JioMart,278,https://grofers.com/prn/chakki-atta/prid/388639,278,https://grofers.com/prn/chakki-atta/prid/388639,278,https://grofers.com/prn/chakki-atta/prid/388639,278,https://grofers.com/prn/chakki-atta/prid/388639,OOS,https://grofers.com/prn/chakki-atta/prid/388639,278,https://www.dealshare.in/product?dealId=Luc07&deal=Swad+Chakki+Fresh+Atta++-+10+kg,298,https://grofers.com/prn/chakki-atta/prid/388639
12-01-2021,CM0013971,Pansari Atta 10kg,Only for price reference,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-01-2021,CM0017769,"Rajdhani Chakki Atta, 10kg",Only for price reference,,,,449,,449,,,370,https://www.dealshare.in/product?dealId=ncr2528&deal=Rajdhani+Atta+-+10+kg,,,305,https://www.jiomart.com/p/groceries/rajdhani-full-fibre-chakki-fresh-whole-wheat-atta-10-kg/490870618,,,,,,,,,,,,,,
12-01-2021,CM0068401,Rasoi Bhog Chakki Fresh Atta 10kg,OPP - GZB,,,330,,,,278,https://grofers.com/prn/chakki-atta/prid/388639,,,,,,,,,,,,,278,https://grofers.com/prn/chakki-atta/prid/388639,OOS,https://grofers.com/prn/chakki-atta/prid/388639,278,https://www.dealshare.in/product?dealId=Luc07&deal=Swad+Chakki+Fresh+Atta++-+10+kg,298,https://grofers.com/prn/chakki-atta/prid/388639
12-01-2021,CM0068403,Shree Ji Bhog Chakki Atta 10kg,OPP - GZB,,,330,,,,278,https://grofers.com/prn/chakki-atta/prid/388639,,,,,,,,,,,,,278,https://grofers.com/prn/chakki-atta/prid/388639,OOS,https://grofers.com/prn/chakki-atta/prid/388639,278,https://www.dealshare.in/product?dealId=Luc07&deal=Swad+Chakki+Fresh+Atta++-+10+kg,298,https://grofers.com/prn/chakki-atta/prid/388639
12-01-2021,CM0046501,Shree Vinayak Chakki Fresh Atta 10Kg,OPP - Gurgaon,,,330,380,370,449,278,https://grofers.com/prn/chakki-atta/prid/388639,322,https://www.dealshare.in/product?dealId=ncr1818&deal=Pansari+Atta+-+10+kg,260,https://www.amazon.in/Niulife-Chakki-Fresh-Atta-10kg/dp/B09C8N1LQW/ref=sr_1_1?dchild=1&keywords=Shree+Vinayak+Chakki+Fresh+Atta+10Kg&qid=1634813448&qsid=259-9051782-1050712&sr=8-1&sres=B09C8N1LQW%2CB08KD28DSR&srpt=FLOUR,305,https://www.jiomart.com/p/groceries/rajdhani-full-fibre-chakki-fresh-whole-wheat-atta-10-kg/490870618,,,,,,,,,,,,,,
12-01-2021,CM0014068,Amul Pure Ghee 1L Tetra Pack,Benchmarking,,,485,500,500,485,464,https://grofers.com/prn/amul-pure-ghee-tetra-pack/prid/15520,500,"Buy,Amul,Cow,Ghee,-,1,ltr,(Tetra,Pack),Online,-,DealShare",485,https://www.amazon.in/Amul-Pure-Ghee-1L-Pack/dp/B01J7K5FYE/ref=sr_1_30?dchild=1&keywords=Amul+Pure+Ghee+1L+Tetra+Pack&qid=1634544985&qsid=259-9051782-1050712&sr=8-30&sres=B06XHL1SS4%2CB081Z6NF8Z%2CB07H3V7LNR%2CB08GKFPZP9%2CB00TFEIXLA%2CB0917KC84Q%2CB0917LLG8Z%2CB08L6MD8KC%2CB0917LR4JC%2CB09JGLTL3S%2CB06XHMQB98%2CB0917LJPZQ%2CB0917M5Q5Z%2CB0756Y49DT%2CB07D3CXH7H%2CB0917M26CC%2CB07JQTFM2V%2CB07DD792X7%2CB08W56FTHJ%2CB08BHVQMP9&srpt=DAIRY_BASED_BUTTER,444,Amul Pure Ghee 1 L (Tetra Pak) - JioMart,470,https://grofers.com/prn/amul-pure-ghee-tetra-pack/prid/15520,470,https://grofers.com/prn/amul-pure-ghee-tetra-pack/prid/15520,475,https://grofers.com/prn/amul-pure-ghee-tetra-pack/prid/15520,464,https://grofers.com/prn/amul-pure-ghee-tetra-pack/prid/15520,OOS,https://grofers.com/prn/amul-pure-ghee-tetra-pack/prid/15520,,,462,https://grofers.com/prn/amul-pure-ghee-tetra-pack/prid/15520
12-01-2021,CM0014113,Ananda Pure Ghee 1 Ltr,Benchmarking,,,510,510,510,510,391,https://grofers.com/prn/gopaljee-ananda-ghee/prid/73536,381,"Buy,Gopaljee,Ananda,Ghee,-,1,ltr,Online,-,DealShare",394,https://www.amazon.in/Ananda-Desi-Ghee-1L/dp/B07JQTFM2V/ref=sr_1_3_0o_fs?almBrandId=ctnow&dchild=1&fpw=alm&keywords=Ananda+Pure+Ghee+1+Ltr&qid=1634544872&qsid=259-9051782-1050712&sr=8-3&sres=B07WCTFG7N%2CB07J63MH85%2CB07JQTFM2V%2CB084MKPLQB%2CB01GRH8VLY%2CB08MQ33JB7%2CB01J7K5COW%2CB08CKRN8RP%2CB07DD792X7%2CB08BJ3TT4N%2CB08W56FTHJ%2CB07MJFKPTT%2CB07H3V7LNR%2CB00TFEIXLA%2CB07V48FB1P%2CB08HJK1N4F%2CB01MYED6CZ%2CB07TXPS96X%2CB07D3CXH7H%2CB08V9Y4Y25&srpt=DAIRY_BASED_BUTTER,389,Ananda Ghee 1 L (Carton) - JioMart,400,https://grofers.com/prn/gopaljee-ananda-ghee/prid/73536,400,https://grofers.com/prn/gopaljee-ananda-ghee/prid/73536,409,https://grofers.com/prn/gopaljee-ananda-ghee/prid/73536,397,https://grofers.com/prn/gopaljee-ananda-ghee/prid/73536,OOS,https://grofers.com/prn/gopaljee-ananda-ghee/prid/73536,,,OOS,https://grofers.com/prn/gopaljee-ananda-ghee/prid/73536
