"name","brand","price","mrp","imgLink","rating","totalRatings","totalReviews","web_url","resolution","display","speaker","operating_system","model_number","screen_size"
"Vu 108 cm (43 Inches) Android Smart 4K Ultra HD LED TV Premium 43PM (Black)","VU","₹28990.00","₹45000.00","//img.tatacliq.com/images/i7/437Wx649H/MP000000007013232_437Wx649H_202107292234111.jpeg",4.27,186,38,"https://www.tatacliq.com/vu-108-cm-43-inches-android-smart-4k-ultra-hd-led-tv-premium-43pm-black/p-mp000000007013232","Resolution: 3840 x 2160 pixels   Refresh Rate : 60 Hz","Display Feature : Dolby Vision   178 Degrees Viewing Angle   Digital Noise Filter   400 nits Brightness","Speaker Output: 24 W   Dolby Audio MS12   Surround Sound Audio with DTS Virtual X","Operating System: Android PIE 9.0   Built In Chromecast   Screen Mirroring   Smart Remote","43PM","Screen Size: 43 inch"
"Samsung 108 cm (43 Inches) Smart 4K Ultra HD LED TV Crystal UA43AUE60AKLXL (2021 Model, Black)","Samsung","₹37990.00","₹52900.00","//img.tatacliq.com/images/i7/437Wx649H/MP000000009501162_437Wx649H_202107292232131.jpeg",4.19,67,13,"https://www.tatacliq.com/samsung-108-cm-43-inches-smart-4k-ultra-hd-led-tv-crystal-ua43aue60aklxl-2021-model-black/p-mp000000009501162","Resolution : 3840 x 2160 pixels   Refresh Rate : 60 Hz","Display Feature: PurColor   Crystal Processor 4K   4K UHD Resolution   HDR   Motion Xcelerator   HDR 10+   HLG   One Billion Color","Speaker Output : 20W   Q-Symphony   Dolby Digital Plus   Sound Mirroring   Adaptive Sound","Operating System : Tizen   Google Assistant   SmartThings App Support   Screen Mirroring   PC Mode   Tap View   Samsung TV Plus","UA43AUE60AKLXL","Screen Size: 43 inch"
"Vu Cinema TV Action Series 139cm (55 Inches) 4K Ultra HD LED Android Smart TV 55LX with Sound by JBL","VU","₹46990.00","₹85000.00","//img.tatacliq.com/images/i7/437Wx649H/MP000000008766256_437Wx649H_202107292234591.jpeg",4.24,21,4,"https://www.tatacliq.com/vu-cinema-tv-action-series-139cm-55-inches-4k-ultra-hd-led-android-smart-tv-55lx-with-sound-by-jbl/p-mp000000008766256","Resolution: 3840 x 2160 pixels | Refresh Rate: 60 Hz","Display Features : Pixelium Glass Technology | Enhanced 4K Visuals and Motion Smoothing | Dolby Vision | HDR10 | HLG | MEMC | Gamma Calibration","Speaker Output : Cinematic Soundbar | 100Watt Supersonic Sound | Cinema-Grade 6-JBL Speakers | DTS Virtual X Surround | Advanced Dolby Audio MS12","Operating System: Android Pie 9.0 | Chromecast Built In | Dual Band WiFi | Google Eco-System | Parental Control","55LX","Screen Size: 55 inch"
"Samsung 138 cm (55 Inches) Smart 4K Ultra HD LED TV Crystal UA55AUE60AKLXL (2021 Model, Black)","Samsung","₹53990.00","₹69990.00","//img.tatacliq.com/images/i7/437Wx649H/MP000000009501163_437Wx649H_202107292231071.jpeg",3.8,41,9,"https://www.tatacliq.com/samsung-138-cm-55-inches-smart-4k-ultra-hd-led-tv-crystal-ua55aue60aklxl-2021-model-black/p-mp000000009501163","Resolution : 3840 x 2160 pixels   Refresh Rate : 60 Hz","Display Feature: PurColor   Crystal Processor 4K   4K UHD Resolution   HDR   Motion Xcelerator   HDR 10+   HLG   One Billion Color","Speaker Output : 20W   Q-Symphony   Dolby Digital Plus   Sound Mirroring   Adaptive Sound","Operating System : Tizen   Google Assistant   Alexa   SmartThings App Support   Screen Mirroring   PC Mode   Tap View   Samsung TV Plus","UA55AUE60AKLXL","Screen Size: 55 inch"
"Samsung 125 cm (50 Inches) Smart 4K Ultra HD LED TV Crystal UA50AUE60AKLXL (2021 Model, Black)","Samsung","₹50990.00","₹68400.00","//img.tatacliq.com/images/i7/437Wx649H/MP000000009501161_437Wx649H_202107292231011.jpeg",3.92,12,2,"https://www.tatacliq.com/samsung-125-cm-50-inches-smart-4k-ultra-hd-led-tv-crystal-ua50aue60aklxl-2021-model-black/p-mp000000009501161","Resolution : 3840 x 2160 pixels   Refresh Rate : 60 Hz","Display Feature: PurColor   Crystal Processor 4K   4K UHD Resolution   HDR   Motion Xcelerator   HDR 10+   HLG   One Billion Color","Speaker Output : 20W   Q-Symphony   Dolby Digital Plus   Sound Mirroring   Adaptive Sound","Operating System : Tizen   Google Assistant   Alexa   SmartThings App Support   Screen Mirroring   PC Mode   Tap View   Samsung TV Plus","UA50AUE60AKLXL","Screen Size: 50 inch"
"Samsung 138 cm (55 Inches) The Frame Series 4K Ultra HD Smart QLED TV QA55LS03AAKLXL (2021, Black)","Samsung","₹89990.00","₹144900.00","//img.tatacliq.com/images/i7/437Wx649H/MP000000009815100_437Wx649H_202106171029291.jpeg",4.5,8,2,"https://www.tatacliq.com/samsung-138-cm-55-inches-the-frame-series-4k-ultra-hd-smart-qled-tv-qa55ls03aaklxl-2021-black/p-mp000000009815100","Resolution: 3840 x 2160 Pixels","Display Feature: Quantum Dot Technology | Quantum Processor 4K | Dual LED | Quantum HDR | HDR 10+ | HLG | Supreme UHD Dimming | Auto Motion Plus","Sound Output: 40W | Dolby Digital Plus | Object Tracking Sound | Q-Symphony | Adaptive Sound+ | Sound Wall | Sound Mirroring | Surround Sound","Operating System: Tizen | Bixby Google Assistant | Alexa | Art Mode | Motion Sensor | Brightness Sensor | PC Mode | Multi View | Samsung TV Plus | Tap View","QA55LS03AAKLXL","Screen Size: 55 inch"
"LG 139.7 cm (55 Inches) Smart 4K Ultra HD LED TV 55UP7500PTZ (2021 Model, Black) 3 Year Warranty","LG","₹51990.00","₹79990.00","//img.tatacliq.com/images/i7/437Wx649H/MP000000010533488_437Wx649H_202109082111241.jpeg",4.3,20,2,"https://www.tatacliq.com/lg-139-7-cm-55-inches-smart-4k-ultra-hd-led-tv-55up7500ptz-2021-model-black-3-year-warranty/p-mp000000010533488","Resolution : 3840 x 2160   Refresh Rate : 60 Hz","Display Feature: Real 4K Display Intelligent Quad Core Processor 4K HDR 10 Pro HLG HDR Pro Active HDR Active Noise Reduction True Color Accuracy","Speaker Output: 20W AI Sound AI Acoustic Tuning Clear Voice III Bluetooth Surround Ready","Operating System: LG webOS Google Assistant Amazon Alexa LG AI ThinQ Apple Airplay Sports Alert Home Dashboard LG Content Store WebOS Home","55UP7500PTZ","Screen Size: 55 inch"
"LG 127 cm (50 Inches) Smart 4K Ultra HD LED TV 50UP7500PTZ (2021 Model, Black) 3 Year Warranty","LG","₹48990.00","₹64990.00","//img.tatacliq.com/images/i7/437Wx649H/MP000000010533478_437Wx649H_202109082110261.jpeg",4.8,5,2,"https://www.tatacliq.com/lg-127-cm-50-inches-smart-4k-ultra-hd-led-tv-50up7500ptz-2021-model-black-3-year-warranty/p-mp000000010533478","Resolution : 3840 x 2160   Refresh Rate : 60 Hz","Display Feature: Real 4K Display Intelligent Quad Core Processor 4K HDR 10 Pro HLG HDR Pro Active HDR Active Noise Reduction True Color Accuracy","Speaker Output: 20W Dolby Atmos AI Sound AI Acoustic Tuning Clear Voice III Bluetooth Surround Ready","Operating System: LG webOS Google Assistant Amazon Alexa LG AI ThinQ Apple Airplay Sports Alert Home Dashboard LG Content Store WebOS Home","50UP7500PTZ","Screen Size: 50 inch"
"LG 109.22 cm (43 Inches) Smart 4K Ultra HD LED TV 43UP7720PTY (2021 Model, Black) 3 Year Warranty","LG","₹41490.00","₹59990.00","//img.tatacliq.com/images/i7/437Wx649H/MP000000010013888_437Wx649H_202108010259091.jpeg",4.14,7,1,"https://www.tatacliq.com/lg-109-22-cm-43-inches-smart-4k-ultra-hd-led-tv-43up7720pty-2021-model-black-3-year-warranty/p-mp000000010013888","Resolution: 3840 x 2160 Pixels   Refresh Rate: 60 Hz","Display Feature: Quad Core Processor 4K    Active HDR    HDR 10 Pro   HLG    True Color Accuracy    Advanced Color Enhancer","Sound Output: 20W    Bluetooth Surround Ready    AI Sound    AI Acoustic Tuning    Clear Voice III","Operating System: LG webOS AI ThinQ Built-in Google Assistant and Alexa Apple Airplay 2 and Homekit Multi view Sports Alert LG Office WebOS Home","43UP7720PTY","Screen Size: 43 inch"
"LG 139.7 cm (55 Inches) Smart 4K Ultra HD OLED TV OLED55A1PTZ (2021, Meteo Titan) 3 Year Warranty","LG","₹109979.00","₹209990.00","//img.tatacliq.com/images/i7/437Wx649H/MP000000010013883_437Wx649H_202108010259531.jpeg",5,1,1,"https://www.tatacliq.com/lg-139-7-cm-55-inches-smart-4k-ultra-hd-oled-tv-oled55a1ptz-2021-meteo-titan-3-year-warranty/p-mp000000010013883","Resolution: 3840 x 2160 Pixels","Display Feature: Self-lighting OLED ?7 Gen 4 AI Processor 4K AI Picture Dolby Vision IQ HDR HDR 10 Pro HLG Wide Color Gamut True Color Accuracy","Sound Output: 20W AI Sound Bluetooth Surround Ready Dolby Atmos AI Acoustic Tuning Clear Voice III","Operating System: LG webOS AI ThinQ Sports Alert Built-in Alexa Works with Apple AirPlay and Google Assistant LG Office WebOS Home Art Gallery","OLED55A1PTZ","Screen Size: 55 inch"
